step,roll,pitch,yaw,throttle,aux1,aux2
150,1398,1460,1463,1399,1800,1800
151,1398,1460,1463,1399,1800,1800
152,1486,1460,1463,1399,1800,1800
153,1580,1460,1537,1399,1800,1800
154,1580,1460,1537,1382,1800,1800
155,1580,1460,1525,1250,1800,1800
156,1580,1460,1525,1250,1800,1800
157,1595,1460,1525,1250,1800,1800
158,1620,1460,1525,1250,1800,1800
159,1620,1460,1525,1250,1800,1800
160,1620,1506,1525,1250,1800,1800
161,1620,1506,1525,1250,1800,1800
162,1620,1506,1525,1250,1800,1800
163,1615,1506,1525,1250,1800,1800
164,1615,1506,1525,1200,1800,1800
165,1615,1506,1525,1200,1800,1800
166,1615,1506,1525,1200,1800,1800
167,1585,1506,1525,1200,1800,1800
168,1620,1506,1525,1200,1800,1800
169,1620,1506,1525,1200,1800,1800
170,1620,1460,1529,1200,1800,1800
171,1620,1460,1529,1200,1800,1800
172,1541,1460,1529,1200,1800,1800
173,1531,1460,1529,1200,1800,1800
174,1531,1460,1529,1200,1800,1800
175,1531,1460,1525,1200,1800,1800
176,1531,1460,1525,1200,1800,1800
177,1563,1460,1525,1200,1800,1800
178,1480,1460,1475,1200,1800,1800
179,1480,1460,1475,1200,1800,1800
180,1480,1506,1475,1200,1800,1800
181,1480,1506,1475,1200,1800,1800
182,1534,1506,1525,1200,1800,1800
183,1553,1506,1525,1200,1800,1800
184,1553,1506,1525,1345,1800,1800
185,1553,1506,1525,1344,1800,1800
186,1553,1506,1525,1344,1800,1800
187,1512,1506,1525,1344,1800,1800
188,1549,1506,1525,1344,1800,1800
189,1549,1506,1525,1398,1800,1800
190,1549,1506,1525,1398,1800,1800
191,1549,1506,1525,1399,1800,1800
192,1498,1506,1475,1399,1800,1800
193,1380,1506,1475,1399,1800,1800
194,1380,1506,1475,1414,1800,1800
195,1380,1460,1474,1250,1800,1800
196,1380,1460,1474,1250,1800,1800
197,1433,1460,1474,1250,1800,1800
198,1544,1460,1526,1250,1800,1800
199,1544,1460,1526,1250,1800,1800
200,1544,1460,1525,1413,1800,1800
201,1544,1460,1525,1413,1800,1800
202,1452,1460,1475,1413,1800,1800
203,1467,1460,1475,1413,1800,1800
204,1467,1460,1475,1413,1800,1800
205,1467,1506,1475,1464,1800,1800
206,1467,1506,1475,1464,1800,1800
207,1490,1506,1475,1464,1800,1800
208,1520,1506,1525,1465,1800,1800
209,1520,1506,1525,1490,1800,1800
210,1520,1506,1525,1512,1800,1800
211,1520,1506,1525,1513,1800,1800
212,1587,1506,1525,1513,1800,1800
213,1491,1506,1475,1514,1800,1800
214,1491,1506,1475,1596,1800,1800
215,1495,1538,1500,1597,1800,1800
216,1495,1538,1500,1598,1800,1800
217,1525,1538,1500,1599,1800,1800
218,1542,1538,1500,1600,1800,1800
219,1542,1538,1500,1700,1800,1800
220,1542,1538,1500,1700,1800,1800
221,1542,1538,1500,1700,1800,1800
222,1544,1538,1500,1700,1800,1800
223,1562,1538,1500,1700,1800,1800
224,1562,1538,1500,1700,1800,1800
225,1562,1538,1500,1700,1800,1800
226,1562,1538,1500,1700,1800,1800
227,1555,1538,1500,1700,1800,1800
