host_receive_iso,host_receive_unix_ms,robot_time_us,robot_elapsed_us,logical_elapsed_us,sample_period_us,sample,mode,s0,s1,s2,s3,s4,left_encoder_deg,right_encoder_deg,delta_left_encoder_deg,delta_right_encoder_deg,left_distance_m,right_distance_m,x_m,y_m,theta_deg,encoder_theta_deg,gyro_z_deg,current_state,prev_state,lost_count,left_cmd_milli,right_cmd_milli
2026-06-22T09:47:35.0453819-07:00,1782146855045,19554649,1510,19550000,50000,0,DRIVING,123,1000,1000,1000,112,50,23,0,0,0.00000,0.00000,0.00000,0.00000,0.000,0.000,0.002,2,2,0,100,100
2026-06-22T09:47:35.0569427-07:00,1782146855056,19604732,51593,19600000,50000,1,DRIVING,126,1000,1000,1000,112,56,28,6,5,0.00168,0.00140,0.00154,0.00000,0.002,-0.168,0.014,2,2,0,100,100
2026-06-22T09:47:35.0751449-07:00,1782146855075,19654700,101561,19650000,50000,2,DRIVING,126,1000,1000,1000,115,56,28,0,0,0.00168,0.00140,0.00154,0.00000,0.014,-0.168,0.061,2,2,0,100,100
2026-06-22T09:47:35.0751449-07:00,1782146855075,19704714,151575,19700000,50000,3,DRIVING,129,1000,1000,1000,112,56,29,0,1,0.00168,0.00168,0.00168,0.00000,0.061,-0.000,0.354,2,2,0,100,100
2026-06-22T09:47:35.0998249-07:00,1782146855099,19754701,201562,19750000,50000,4,DRIVING,120,1000,1000,1000,106,60,34,4,5,0.00279,0.00307,0.00293,0.00001,0.354,0.168,0.886,2,2,0,100,100
2026-06-22T09:47:35.1038246-07:00,1782146855103,19804697,251558,19800000,50000,5,DRIVING,113,1000,1000,1000,96,72,49,12,15,0.00614,0.00726,0.00670,0.00007,0.886,0.674,1.453,2,2,0,100,100
2026-06-22T09:47:35.1239160-07:00,1782146855123,19854712,301573,19850000,50000,6,DRIVING,112,1000,1000,1000,95,89,70,17,21,0.01089,0.01312,0.01201,0.00020,1.453,1.347,2.021,2,2,0,100,100
2026-06-22T09:47:35.1239160-07:00,1782146855123,19904697,351558,19900000,50000,7,DRIVING,118,1000,1000,1000,99,108,92,19,22,0.01620,0.01927,0.01773,0.00040,2.021,1.853,2.452,2,2,0,100,100
2026-06-22T09:47:35.1391968-07:00,1782146855139,19954699,401560,19950000,50000,8,DRIVING,111,1000,1000,1000,96,129,115,21,23,0.02206,0.02569,0.02386,0.00067,2.452,2.189,2.725,2,2,0,100,100
2026-06-22T09:47:35.1552737-07:00,1782146855155,20004800,451661,20000000,50000,9,DRIVING,120,1000,1000,1000,100,151,138,22,23,0.02820,0.03211,0.03014,0.00096,2.725,2.358,3.042,2,2,0,100,100
