host_receive_iso,host_receive_unix_ms,robot_time_us,robot_elapsed_us,logical_elapsed_us,sample_period_us,sample,mode,s0,s1,s2,s3,s4,left_encoder_deg,right_encoder_deg,delta_left_encoder_deg,delta_right_encoder_deg,left_distance_m,right_distance_m,x_m,y_m,theta_deg,current_state,prev_state,lost_count,left_cmd_milli,right_cmd_milli
2026-06-22T09:31:51.1817456-07:00,1782145911181,17503951,1172,17500000,50000,0,DRIVING,85,1000,1000,1000,67,16,36,0,0,0.00000,0.00000,0.00000,0.00000,0.000,2,2,0,100,100
2026-06-22T09:31:51.1817456-07:00,1782145911181,17554000,51221,17550000,50000,1,DRIVING,88,1000,1000,1000,67,21,43,5,7,0.00140,0.00195,0.00168,0.00001,0.337,2,2,0,100,100
2026-06-22T09:31:51.1974036-07:00,1782145911197,17603990,101211,17600000,50000,2,DRIVING,88,1000,1000,1000,69,21,43,0,0,0.00140,0.00195,0.00168,0.00001,0.337,2,2,0,100,100
2026-06-22T09:31:51.2132902-07:00,1782145911213,17653961,151182,17650000,50000,3,DRIVING,88,1000,1000,1000,67,21,43,0,0,0.00140,0.00195,0.00168,0.00001,0.337,2,2,0,100,100
2026-06-22T09:31:51.2245232-07:00,1782145911224,17703972,201193,17700000,50000,4,DRIVING,88,1000,1000,1000,63,22,45,1,2,0.00168,0.00251,0.00209,0.00001,0.505,2,2,0,100,100
2026-06-22T09:31:51.2290658-07:00,1782145911229,17753970,251191,17750000,50000,5,DRIVING,88,1000,1000,1000,65,33,58,11,13,0.00475,0.00614,0.00545,0.00006,0.842,2,2,0,100,100
2026-06-22T09:31:51.2448016-07:00,1782145911244,17803965,301186,17800000,50000,6,DRIVING,86,1000,1000,1000,66,50,77,17,19,0.00949,0.01145,0.01047,0.00017,1.179,2,2,0,100,100
2026-06-22T09:31:51.2607542-07:00,1782145911260,17853969,351190,17850000,50000,7,DRIVING,85,1000,1000,1000,67,70,99,20,22,0.01508,0.01759,0.01633,0.00032,1.516,2,2,0,100,100
2026-06-22T09:31:51.2607542-07:00,1782145911260,17903964,401185,17900000,50000,8,DRIVING,96,1000,1000,1000,76,91,122,21,23,0.02094,0.02402,0.02247,0.00052,1.853,2,2,0,100,100
2026-06-22T09:31:51.2763960-07:00,1782145911276,17953974,451195,17950000,50000,9,DRIVING,106,1000,1000,1000,91,112,146,21,24,0.02681,0.03072,0.02875,0.00078,2.358,2,2,0,100,100
2026-06-22T09:31:51.2920578-07:00,1782145911292,18004020,501241,18000000,50000,10,DRIVING,108,1000,1000,1000,88,134,169,22,23,0.03295,0.03714,0.03503,0.00106,2.526,2,2,0,100,100
2026-06-22T09:31:51.2920578-07:00,1782145911292,18053971,551192,18050000,50000,11,DRIVING,103,1000,1000,1000,80,156,192,22,23,0.03910,0.04356,0.04130,0.00135,2.695,2,2,0,100,100
2026-06-22T09:31:51.3081747-07:00,1782145911308,18103970,601191,18100000,50000,12,DRIVING,108,1000,1000,1000,82,178,217,22,25,0.04524,0.05054,0.04786,0.00172,3.200,2,2,0,100,100
2026-06-22T09:31:51.3245818-07:00,1782145911324,18153973,651194,18150000,50000,13,DRIVING,102,1000,1000,1000,80,201,241,23,24,0.05166,0.05725,0.05441,0.00210,3.368,2,2,0,100,100
2026-06-22T09:31:51.3397636-07:00,1782145911339,18203967,701188,18200000,50000,14,DRIVING,105,1000,1000,1000,82,224,265,23,24,0.05808,0.06395,0.06096,0.00251,3.537,2,2,0,100,100
2026-06-22T09:31:51.3397636-07:00,1782145911339,18253969,751190,18250000,50000,15,DRIVING,99,1000,1000,1000,83,247,288,23,23,0.06451,0.07037,0.06737,0.00290,3.537,2,2,0,100,100
2026-06-22T09:31:51.3556490-07:00,1782145911355,18303973,801194,18300000,50000,16,DRIVING,96,1000,1000,1000,83,270,312,23,24,0.07093,0.07707,0.07392,0.00333,3.705,2,2,0,100,100
2026-06-22T09:31:51.3713283-07:00,1782145911371,18353979,851200,18350000,50000,17,DRIVING,98,1000,1000,1000,85,293,336,23,24,0.07735,0.08378,0.08046,0.00377,3.874,2,2,0,100,100
