value_m
0.635
0.635
0.635
0.635
0.632
0.632
0.632
0.632
0.632
0.633
0.633
0.633
0.633
0.633
0.631
0.631
0.631
0.631
0.631
0.631
0.632
0.632
0.632
0.632
0.632
0.625
0.625
0.625
0.682
0.682
0.682
0.682
0.682
0.652
0.652
0.652
0.652
0.652
0.627
0.627
0.627
0.627
0.627
0.627
0.555
0.555
0.555
0.555
0.555
0.54
0.54
0.54
0.54
0.54
0.472
0.472
0.472
0.472
0.472
0.283
0.283
0.283
0.283
0.283
0.221
0.221
0.221
0.221
0.221
0.291
0.291
0.291
0.291
0.291
0.514
0.514
0.514
0.514
0.514
0.64
0.64
0.64
0.64
0.64
0.734
0.734
0.734
0.734
0.734
0.735
0.735
0.735
0.735
0.735
0.616
0.616
0.616
0.616
0.72
0.77
0.79
0.8
0.84
0.76
0.74
0.73
0.71
0.68
0.65
0.616
0.594
0.594
0.594
0.594
0.594
0.655
0.655
0.655
0.655
0.655
0.697
0.697
0.697
0.697
0.697
0.563
0.563
0.563
0.563
0.563
0.272
0.272
0.272
0.272
0.272
0.544
0.544
0.544
0.544
0.544
0.495
0.495
0.495
0.495
0.495
0.247
0.247
0.247
0.247
0.247
0.437
0.437
0.437
0.437
0.437
0.632
0.632
0.632
0.632
0.632
0.666
0.666
0.666
0.666
0.666
0.65
0.65
0.65
0.65
0.65
0.585
0.585
0.585
0.585
0.585
0.386
0.386
0.386
0.386
0.386
0.459
0.459
0.459
0.459
0.459
0.58
0.58
0.58
0.58
0.58
0.49
0.49
0.49
0.49
0.49
0.373
0.373
0.373
0.373
0.373
0.582
0.582
0.582
0.582
0.582
0.375
0.375
0.375
0.375
0.375
0.427
0.427
0.427
0.427
0.427
0.576
0.576
0.576
0.576
0.576
0.7
0.7
0.7
0.7
0.7
0.709
0.709
0.709
0.709
0.709
0.679
0.679
0.679
0.679
0.679
0.678
