time_s,x,y,theta_rad,theta_deg
0.0,0.0,0.0,0.0,0.0
0.050022,0.00098,2e-05,0.020577431881013145,1.179
0.099977,0.00335,0.00015,0.05291838292046807,3.032
0.149978,0.00627,0.00036,0.07349581480148122,4.211
0.199972,0.00919,0.00062,0.08819148710327347,5.053
0.249977,0.01183,0.00088,0.09700539982584483,5.558
0.299977,0.01433,0.00115,0.10876891898428662,6.232
0.349981,0.01683,0.00145,0.12051498485020846,6.905
0.399971,0.01904,0.00173,0.12639674442942936,7.242000000000001
0.449975,0.02195,0.00211,0.12934635086529975,7.411
0.499972,0.02513,0.00255,0.13816026358787115,7.916000000000001
0.549979,0.02666,0.00272,0.1058193125484162,6.063
0.599974,0.02652,0.00271,0.026459191460234035,1.516
0.64998,0.02778,0.0027,-0.005881759579220891,-0.337
0.699987,0.03071,0.00278,0.026459191460234035,1.516
0.749968,0.03377,0.00299,0.06761405522226033,3.874
0.799974,0.0378,0.00339,0.0999375529691953,5.726
0.849973,0.04223,0.00394,0.12346459128607887,7.074
0.899974,0.04474,0.00418,0.09405579338997443,5.389
0.949974,0.04488,0.00418,0.026459191460234035,1.516
1.000033,0.04571,0.00418,-0.0029321531433504737,-0.168
1.049983,0.04809,0.00424,0.02350958502436362,1.347
1.099972,0.05143,0.00445,0.06466444878638991,3.705
1.149976,0.05518,0.00484,0.10288715940506572,5.895
1.199983,0.0592,0.00536,0.12934635086529975,7.411
1.249982,0.06128,0.00559,0.10876891898428662,6.232
1.299979,0.06142,0.0056,0.047036623341247176,2.695
1.349974,0.06239,0.00562,0.026459191460234035,1.516
1.399972,0.06546,0.00581,0.061732295643039434,3.537
1.449982,0.06963,0.00624,0.10288715940506572,5.895
1.49998,0.07199,0.00645,0.08819148710327347,5.053
1.549969,0.07241,0.00646,0.032340951039454925,1.853
1.599975,0.07353,0.00648,0.014695672301792254,0.842
1.649977,0.0766,0.00662,0.04408701690537676,2.526
1.699967,0.08091,0.00697,0.08230972752405258,4.716
1.749971,0.08342,0.00713,0.06466444878638991,3.705
1.799981,0.08398,0.00714,0.005881759579220891,0.337
1.849967,0.08523,0.00711,-0.020577431881013145,-1.179
1.899981,0.08844,0.00713,0.005881759579220891,0.337
1.949975,0.09263,0.0073,0.04115486376202629,2.358
2.000032,0.09736,0.00764,0.07054620836561079,4.042
2.04997,0.10015,0.00775,0.04115486376202629,2.358
2.099966,0.10253,0.00779,0.014695672301792254,0.842
2.149984,0.1063,0.00788,0.02350958502436362,1.347
2.199973,0.11062,0.00807,0.04408701690537676,2.526
2.249978,0.1155,0.00838,0.06466444878638991,3.705
2.299972,0.12023,0.00875,0.07642796794483168,4.379
2.349977,0.12316,0.00887,0.04408701690537676,2.526
2.39998,0.12526,0.0089,0.011763519158441782,0.674
2.449966,0.12875,0.00897,0.020577431881013145,1.179
2.499967,0.13307,0.00917,0.047036623341247176,2.695
2.549971,0.13753,0.00949,0.07054620836561079,4.042
2.599969,0.14032,0.0096,0.04115486376202629,2.358
2.649984,0.14241,0.00964,0.014695672301792254,0.842
2.69997,0.14618,0.00975,0.02939134460358451,1.684
2.749981,0.15022,0.00995,0.04996877648459765,2.863
2.799981,0.15523,0.01038,0.08524188066740306,4.884
2.849976,0.15788,0.01058,0.07642796794483168,4.379
2.899967,0.15997,0.01068,0.04996877648459765,2.863
2.949982,0.16429,0.01099,0.07054620836561079,4.042
3.000035,0.16832,0.01136,0.09112364024662395,5.221
3.049977,0.1729,0.01187,0.1117010721276371,6.4
3.099974,0.17774,0.01254,0.13816026358787115,7.916000000000001
3.149977,0.18256,0.01332,0.15873769546888428,9.095
3.199974,0.18725,0.01409,0.16461945504810516,9.432
3.249976,0.19165,0.01485,0.1704837613348061,9.768
3.299978,0.19451,0.01548,0.21458823153270282,12.295
3.349977,0.19545,0.01576,0.293948352620885,16.842
3.399967,0.19545,0.01576,0.38213983972415844,21.895
3.449987,0.19507,0.01557,0.4614999608123406,26.442
3.499974,0.19459,0.01529,0.5261644095987305,30.146999999999995
3.54998,0.19401,0.01491,0.58789670524177,33.684
3.59998,0.19356,0.01457,0.6408150881622381,36.716
3.649972,0.19313,0.01421,0.6937160177901862,39.747
3.699971,0.19219,0.01338,0.7260569688296411,41.6
3.749967,0.19128,0.01252,0.7525161602898751,43.116
3.799986,0.19158,0.01281,0.7437022475673037,42.611
3.849986,0.19319,0.01415,0.6995977773694071,40.084
3.899985,0.19372,0.0146,0.6966656242260565,39.916
3.949977,0.19352,0.01441,0.7378204879880829,42.274
4.000034,0.19301,0.01393,0.7701439857350179,44.126
4.049975,0.19204,0.01293,0.7995527836311223,45.811
4.099974,0.19244,0.01332,0.7877892644726805,45.137
4.149967,0.19429,0.01502,0.7407526411314334,42.442
4.199968,0.19481,0.01549,0.731938728408862,41.937
4.249978,0.1944,0.0151,0.7613300730124465,43.621
4.299978,0.19382,0.0145,0.796603177195252,45.642
4.349966,0.19279,0.01336,0.8348258878139277,47.832
4.39998,0.19298,0.01357,0.8289441282347068,47.495
4.449981,0.19446,0.01505,0.7848396580368102,44.968
4.499972,0.19486,0.01544,0.7730935921708884,44.29500000000001
4.549982,0.19496,0.01554,0.7936710240519014,45.474
4.599966,0.19486,0.01544,0.8259945217988364,47.326
4.649978,0.19486,0.01544,0.8847946642985254,50.695
4.699974,0.19486,0.01544,0.9494591130849153,54.4
4.749976,0.19582,0.01681,0.961222632243357,55.074
4.799976,0.19788,0.01963,0.940645200362344,53.895
4.84997,0.19932,0.02169,0.9582730258074866,54.905
4.899974,0.19969,0.02228,1.020005321450526,58.442
4.949974,0.20053,0.02373,1.0435149064748896,59.789
5.000024,0.20254,0.02708,1.0317688406089678,59.116
5.049978,0.20396,0.02965,1.064092338355903,60.968
5.099969,0.20438,0.03053,1.1258246339989422,64.505
5.149978,0.20466,0.03117,1.1581655850383972,66.358
5.199979,0.20539,0.03283,1.1552159786025267,66.189
5.249973,0.20705,0.03622,1.117010721276371,64.0
5.299977,0.20828,0.03888,1.1375881531573842,65.179
5.349987,0.20863,0.03979,1.2052022083796443,69.053
5.399972,0.20867,0.03992,1.255170984864242,71.916
5.449971,0.2091,0.04125,1.261052744443463,72.253
5.499973,0.2103,0.04468,1.2316439465473585,70.568
5.549983,0.21193,0.04899,1.2110839679588652,69.39
5.599974,0.21296,0.05203,1.2434074657058003,71.242
5.649972,0.21321,0.05298,1.3110215209280607,75.11600000000001
5.699973,0.21367,0.05488,1.334531105952424,76.463
5.749988,0.2147,0.05879,1.313953674071411,75.284
5.799974,0.21603,0.06349,1.293376242190398,74.105
5.849976,0.21681,0.06647,1.3169032805072816,75.453
5.899974,0.21702,0.06756,1.3756859697144506,78.82100000000001
5.94997,0.21739,0.06963,1.3962634015954636,80.0
6.000019,0.21813,0.07346,1.3786355761503208,78.99
6.049983,0.21916,0.07795,1.346294625110866,77.137
6.099967,0.21981,0.08096,1.3580581442693078,77.811
6.149973,0.2199,0.08151,1.4050773143180348,80.505
6.199975,0.22017,0.08316,1.410959073897256,80.842
6.249983,0.22085,0.08673,1.3815677292936714,79.158
6.299978,0.22187,0.09108,1.340412865531645,76.8
6.349975,0.22251,0.09394,1.3492267782542167,77.305
6.399967,0.22263,0.09463,1.3991955547388142,80.168
6.449984,0.22265,0.09476,1.4491817845159316,83.032
6.499979,0.22289,0.09685,1.457995697238503,83.537
6.549976,0.22345,0.101,1.4344861122141395,82.19
6.599976,0.22436,0.10622,1.3991955547388142,80.168
6.649978,0.22489,0.10967,1.4197729866198272,81.347
6.699977,0.22503,0.1112,1.4756235226836458,84.547
6.749964,0.22518,0.11329,1.50208271414388,86.063
6.79998,0.22553,0.11775,1.490336648277958,85.39
6.849975,0.22612,0.12288,1.457995697238503,83.537
6.899979,0.22694,0.1284,1.4227225930556977,81.516
6.949975,0.22731,0.13131,1.4433000249367107,82.695
7.000026,0.2276,0.13409,1.4668096099610746,84.04200000000002
7.049975,0.22806,0.13839,1.463877456817724,83.874
7.099978,0.22869,0.14324,1.4433000249367107,82.695
7.149984,0.22948,0.14849,1.4197729866198272,81.347
7.199969,0.22988,0.15167,1.4462321780800613,82.863
7.249972,0.22994,0.15279,1.516778386445672,86.905
7.299969,0.23,0.15502,1.5461871843417767,88.59000000000002
7.349985,0.23015,0.15865,1.5285419056041138,87.579
7.399982,0.2305,0.1631,1.4932688014213087,85.558
7.449972,0.231,0.1681,1.4697592163969448,84.211
7.499971,0.23157,0.17282,1.4521139376592822,83.2
7.549978,0.23225,0.1778,1.4344861122141395,82.19
7.599975,0.23255,0.18071,1.4668096099610746,84.04200000000002
7.649977,0.23276,0.18336,1.4932688014213087,85.558
7.699972,0.23311,0.18739,1.484454888698737,85.053
7.749973,0.23357,0.19184,1.4668096099610746,84.04200000000002
7.799977,0.23421,0.19668,1.4403504185008404,82.52600000000001
7.849981,0.23451,0.19946,1.463877456817724,83.874
7.899981,0.23455,0.20044,1.5256097524607635,87.411
7.949975,0.23462,0.20295,1.5432375779059062,88.421
8.00004,0.23481,0.20657,1.5197279928815424,87.074
8.049964,0.23514,0.21117,1.4991505610005293,85.895
8.09997,0.23527,0.21382,1.5197279928815424,87.074
8.149978,0.23527,0.2141,1.5785106820887114,90.442
8.199971,0.2353,0.21368,1.6402429777317509,93.979
8.249974,0.23528,0.21382,1.6960935137955695,97.179
8.299972,0.23528,0.21382,1.7431301371368166,99.874
8.349977,0.23531,0.21368,1.7813353944629726,102.063
8.399978,0.23534,0.21355,1.8077945859232065,103.579
8.449971,0.23531,0.21368,1.8283720178042198,104.75800000000001
8.499976,0.23516,0.21422,1.8401355369626615,105.432
8.549986,0.23512,0.21435,1.843067690106012,105.6
8.599971,0.23504,0.21462,1.8489494496852328,105.937
8.649979,0.235,0.21476,1.8518816028285834,106.105
8.699953,0.235,0.21476,1.8518816028285834,106.105
8.749978,0.235,0.21476,1.8518816028285834,106.105
