step,roll,pitch,yaw,throttle,aux1,aux2
150,1466,1460,1468,1419,1800,1800
151,1466,1460,1468,1393,1800,1800
152,1551,1460,1532,1393,1800,1800
153,1398,1460,1468,1393,1800,1800
154,1398,1460,1468,1393,1800,1800
155,1398,1460,1463,1393,1800,1800
156,1398,1460,1463,1250,1800,1800
157,1486,1460,1463,1250,1800,1800
158,1580,1460,1537,1250,1800,1800
159,1580,1460,1537,1250,1800,1800
160,1580,1460,1525,1250,1800,1800
161,1580,1460,1525,1385,1800,1800
162,1595,1460,1525,1385,1800,1800
163,1620,1460,1525,1385,1800,1800
164,1620,1460,1525,1288,1800,1800
165,1620,1506,1525,1288,1800,1800
166,1620,1506,1525,1250,1800,1800
167,1620,1506,1525,1250,1800,1800
168,1615,1506,1525,1250,1800,1800
169,1615,1506,1525,1200,1800,1800
170,1615,1506,1525,1200,1800,1800
171,1615,1506,1525,1200,1800,1800
172,1585,1506,1525,1200,1800,1800
173,1620,1506,1525,1200,1800,1800
174,1620,1506,1525,1200,1800,1800
175,1620,1460,1529,1200,1800,1800
176,1620,1460,1529,1200,1800,1800
177,1541,1460,1529,1200,1800,1800
178,1531,1460,1529,1200,1800,1800
179,1531,1460,1529,1200,1800,1800
180,1531,1460,1525,1200,1800,1800
181,1531,1460,1525,1200,1800,1800
182,1563,1460,1525,1200,1800,1800
183,1480,1460,1475,1200,1800,1800
184,1480,1460,1475,1203,1800,1800
185,1480,1506,1475,1202,1800,1800
186,1480,1506,1475,1202,1800,1800
187,1534,1506,1525,1201,1800,1800
188,1553,1506,1525,1200,1800,1800
189,1553,1506,1525,1347,1800,1800
190,1553,1506,1525,1347,1800,1800
191,1553,1506,1525,1347,1800,1800
192,1512,1506,1525,1347,1800,1800
193,1549,1506,1525,1347,1800,1800
194,1549,1506,1525,1401,1800,1800
195,1549,1506,1525,1401,1800,1800
196,1549,1506,1525,1401,1800,1800
197,1498,1506,1475,1401,1800,1800
198,1380,1506,1475,1401,1800,1800
199,1380,1506,1475,1417,1800,1800
200,1380,1460,1474,1417,1800,1800
201,1380,1460,1474,1417,1800,1800
202,1433,1460,1474,1417,1800,1800
203,1544,1460,1526,1417,1800,1800
204,1544,1460,1526,1431,1800,1800
205,1544,1460,1525,1431,1800,1800
206,1544,1460,1525,1250,1800,1800
207,1452,1460,1475,1250,1800,1800
208,1467,1460,1475,1250,1800,1800
209,1467,1460,1475,1250,1800,1800
210,1467,1506,1475,1250,1800,1800
211,1467,1506,1475,1413,1800,1800
212,1490,1506,1475,1413,1800,1800
213,1520,1506,1525,1413,1800,1800
214,1520,1506,1525,1413,1800,1800
215,1520,1506,1525,1413,1800,1800
216,1520,1506,1525,1490,1800,1800
217,1587,1506,1525,1490,1800,1800
218,1491,1506,1475,1490,1800,1800
219,1491,1506,1475,1490,1800,1800
220,1495,1538,1500,1490,1800,1800
221,1495,1538,1500,1601,1800,1800
222,1525,1538,1500,1602,1800,1800
223,1542,1538,1500,1602,1800,1800
224,1542,1538,1500,1700,1800,1800
225,1542,1538,1500,1700,1800,1800
226,1542,1538,1500,1700,1800,1800
227,1544,1538,1500,1700,1800,1800
228,1562,1538,1500,1700,1800,1800
229,1562,1538,1500,1700,1800,1800
230,1562,1538,1500,1700,1800,1800
231,1562,1538,1500,1700,1800,1800
232,1555,1538,1500,1700,1800,1800
233,1550,1538,1500,1700,1800,1800
234,1550,1538,1500,1700,1800,1800
235,1550,1538,1500,1700,1800,1800
236,1550,1538,1500,1700,1800,1800
237,1550,1538,1500,1700,1800,1800
238,1500,1538,1500,1450,1800,1800
